Time	Node	Type	Packets	
4	l4-9	CacheMisses	98
4	l4-10	CacheHits	40
4	l4-10	CacheMisses	90
4	l4-11	CacheHits	0
4	l4-11	CacheMisses	0
4	l4-12	CacheHits	0
4	l4-12	CacheMisses	0
4	l4-13	CacheHits	0
4	l4-13	CacheMisses	0
4	l4-14	CacheHits	0
4	l4-14	CacheMisses	0
4	l4-15	CacheHits	0
4	l4-15	CacheMisses	0
4	l4-16	CacheHits	0
4	l4-16	CacheMisses	0
4	l5-1	CacheHits	2
4	l5-1	CacheMisses	0
4	l5-2	CacheHits	5
4	l5-2	CacheMisses	0
4	l5-3	CacheHits	1
4	l5-3	CacheMisses	0
4	l5-4	CacheHits	3
4	l5-4	CacheMisses	0
4	l5-5	CacheHits	4
4	l5-5	CacheMisses	0
4	l5-6	CacheHits	5
4	l5-6	CacheMisses	0
4	l5-7	CacheHits	7
4	l5-7	CacheMisses	0
4	l5-8	CacheHits	12
4	l5-8	CacheMisses	1
4	l5-9	CacheHits	9
4	l5-9	CacheMisses	1
4	l5-10	CacheHits	17
4	l5-10	CacheMisses	1
4	l5-11	CacheHits	18
4	l5-11	CacheMisses	5
4	l5-12	CacheHits	31
4	l5-12	CacheMisses	5
4	l5-13	CacheHits	39
4	l5-13	CacheMisses	7
4	l5-14	CacheHits	48
4	l5-14	CacheMisses	21
4	l5-15	CacheHits	66
4	l5-15	CacheMisses	47
4	l5-16	CacheHits	79
4	l5-16	CacheMisses	99
4	l5-17	CacheHits	58
4	l5-17	CacheMisses	93
4	l5-18	CacheHits	53
4	l5-18	CacheMisses	90
4	l5-19	CacheHits	31
4	l5-19	CacheMisses	72
4	l5-20	CacheHits	13
4	l5-20	CacheMisses	58
4	l5-21	CacheHits	0
4	l5-21	CacheMisses	0
4	l5-22	CacheHits	0
4	l5-22	CacheMisses	0
4	l5-23	CacheHits	0
4	l5-23	CacheMisses	0
4	l5-24	CacheHits	0
4	l5-24	CacheMisses	0
4	l5-25	CacheHits	0
4	l5-25	CacheMisses	0
4	l5-26	CacheHits	0
4	l5-26	CacheMisses	0
4	l5-27	CacheHits	0
4	l5-27	CacheMisses	0
4	l5-28	CacheHits	0
4	l5-28	CacheMisses	0
4	l5-29	CacheHits	0
4	l5-29	CacheMisses	0
4	l5-30	CacheHits	0
4	l5-30	CacheMisses	0
4	l5-31	CacheHits	0
4	l5-31	CacheMisses	0
4	l5-32	CacheHits	0
4	l5-32	CacheMisses	0
4	l6-1	CacheHits	310
4	l6-1	CacheMisses	1
4	l6-2	CacheHits	304
4	l6-2	CacheMisses	1
4	l6-3	CacheHits	295
4	l6-3	CacheMisses	3
4	l6-4	CacheHits	299
4	l6-4	CacheMisses	2
4	l6-5	CacheHits	304
4	l6-5	CacheMisses	1
4	l6-6	CacheHits	277
4	l6-6	CacheMisses	0
4	l6-7	CacheHits	296
4	l6-7	CacheMisses	2
