Time,Node,Type,Packets
1,l7-9,CacheMisses,96
1,l7-10,CacheHits,70
1,l7-10,CacheMisses,96
1,l7-11,CacheHits,69
1,l7-11,CacheMisses,96
1,l7-12,CacheHits,60
1,l7-12,CacheMisses,96
1,l7-13,CacheHits,64
1,l7-13,CacheMisses,95
1,l7-14,CacheHits,63
1,l7-14,CacheMisses,93
1,l7-15,CacheHits,53
1,l7-15,CacheMisses,95
1,l7-16,CacheHits,61
1,l7-16,CacheMisses,99
1,l7-17,CacheHits,52
1,l7-17,CacheMisses,90
1,l7-18,CacheHits,56
1,l7-18,CacheMisses,95
1,l7-19,CacheHits,50
1,l7-19,CacheMisses,90
1,l7-20,CacheHits,54
1,l7-20,CacheMisses,93
1,l7-21,CacheHits,46
1,l7-21,CacheMisses,91
1,l7-22,CacheHits,55
1,l7-22,CacheMisses,88
1,l7-23,CacheHits,49
1,l7-23,CacheMisses,91
1,l7-24,CacheHits,50
1,l7-24,CacheMisses,81
1,l7-25,CacheHits,40
1,l7-25,CacheMisses,88
1,l7-26,CacheHits,41
1,l7-26,CacheMisses,84
1,l7-27,CacheHits,49
1,l7-27,CacheMisses,86
1,l7-28,CacheHits,40
1,l7-28,CacheMisses,79
1,l7-29,CacheHits,34
1,l7-29,CacheMisses,87
1,l7-30,CacheHits,35
1,l7-30,CacheMisses,79
1,l7-31,CacheHits,38
1,l7-31,CacheMisses,74
1,l7-32,CacheHits,35
1,l7-32,CacheMisses,81
1,l7-33,CacheHits,28
1,l7-33,CacheMisses,78
1,l7-34,CacheHits,35
1,l7-34,CacheMisses,83
1,l7-35,CacheHits,31
1,l7-35,CacheMisses,83
1,l7-36,CacheHits,24
1,l7-36,CacheMisses,67
1,l7-37,CacheHits,17
1,l7-37,CacheMisses,65
1,l7-38,CacheHits,32
1,l7-38,CacheMisses,69
1,l7-39,CacheHits,22
1,l7-39,CacheMisses,65
1,l7-40,CacheHits,15
1,l7-40,CacheMisses,64
1,l7-41,CacheHits,17
1,l7-41,CacheMisses,58
1,l7-42,CacheHits,14
1,l7-42,CacheMisses,56
1,l7-43,CacheHits,13
1,l7-43,CacheMisses,52
1,l7-44,CacheHits,10
1,l7-44,CacheMisses,53
1,l7-45,CacheHits,9
1,l7-45,CacheMisses,48
1,l7-46,CacheHits,2
1,l7-46,CacheMisses,46
1,l7-47,CacheHits,3
1,l7-47,CacheMisses,37
1,l7-48,CacheHits,2
1,l7-48,CacheMisses,23
1,l7-49,CacheHits,1
1,l7-49,CacheMisses,14
1,l7-50,CacheHits,0
1,l7-50,CacheMisses,10
1,l7-51,CacheHits,0
1,l7-51,CacheMisses,1
1,l7-52,CacheHits,0
1,l7-52,CacheMisses,1
1,l7-53,CacheHits,0
1,l7-53,CacheMisses,1
1,l7-54,CacheHits,0
1,l7-54,CacheMisses,1
1,l7-55,CacheHits,0
1,l7-55,CacheMisses,1
1,l7-56,CacheHits,0
1,l7-56,CacheMisses,1
1,l7-57,CacheHits,0
1,l7-57,CacheMisses,1
1,l7-58,CacheHits,0
1,l7-58,CacheMisses,1
1,l7-59,CacheHits,0
1,l7-59,CacheMisses,1
1,l7-60,CacheHits,0
1,l7-60,CacheMisses,1
1,l7-61,CacheHits,0
1,l7-61,CacheMisses,1
1,l7-62,CacheHits,0
1,l7-62,CacheMisses,1
1,l7-63,CacheHits,0
1,l7-63,CacheMisses,1
1,l7-64,CacheHits,0
1,l7-64,CacheMisses,1
1,l7-65,CacheHits,0
1,l7-65,CacheMisses,1
1,l7-66,CacheHits,0
1,l7-66,CacheMisses,1
1,l7-67,CacheHits,0
1,l7-67,CacheMisses,1
1,l7-68,CacheHits,0
1,l7-68,CacheMisses,1
1,l7-69,CacheHits,0
1,l7-69,CacheMisses,1
1,l7-70,CacheHits,0
1,l7-70,CacheMisses,1
1,l7-71,CacheHits,0
1,l7-71,CacheMisses,1
1,l7-72,CacheHits,0
1,l7-72,CacheMisses,1
1,l7-73,CacheHits,0
1,l7-73,CacheMisses,1
1,l7-74,CacheHits,0
1,l7-74,CacheMisses,1
1,l7-75,CacheHits,0
1,l7-75,CacheMisses,1
1,l7-76,CacheHits,0
1,l7-76,CacheMisses,1
1,l7-77,CacheHits,0
1,l7-77,CacheMisses,1
1,l7-78,CacheHits,0
1,l7-78,CacheMisses,1
1,l7-79,CacheHits,0
1,l7-79,CacheMisses,1
1,l7-80,CacheHits,0
1,l7-80,CacheMisses,1
1,l7-81,CacheHits,0
1,l7-81,CacheMisses,1
1,l7-82,CacheHits,0
1,l7-82,CacheMisses,1
1,l7-83,CacheHits,0
1,l7-83,CacheMisses,1
1,l7-84,CacheHits,0
1,l7-84,CacheMisses,1
1,l7-85,CacheHits,0
1,l7-85,CacheMisses,1
1,l7-86,CacheHits,0
1,l7-86,CacheMisses,1
1,l7-87,CacheHits,0
1,l7-87,CacheMisses,1
1,l7-88,CacheHits,0
1,l7-88,CacheMisses,1
1,l7-89,CacheHits,0
1,l7-89,CacheMisses,1
1,l7-90,CacheHits,0
1,l7-90,CacheMisses,1
1,l7-91,CacheHits,0
1,l7-91,CacheMisses,1
1,l7-92,CacheHits,0
1,l7-92,CacheMisses,1
1,l7-93,CacheHits,0
1,l7-93,CacheMisses,1
1,l7-94,CacheHits,0
1,l7-94,CacheMisses,1
1,l7-95,CacheHits,0
1,l7-95,CacheMisses,1
1,l7-96,CacheHits,0
1,l7-96,CacheMisses,1
1,l7-97,CacheHits,0
1,l7-97,CacheMisses,1
1,l7-98,CacheHits,0
1,l7-98,CacheMisses,1
1,l7-99,CacheHits,0
1,l7-99,CacheMisses,1
1,l7-100,CacheHits,0
1,l7-100,CacheMisses,1
1,l7-101,CacheHits,0
1,l7-101,CacheMisses,1
1,l7-102,CacheHits,0
1,l7-102,CacheMisses,1
1,l7-103,CacheHits,0
1,l7-103,CacheMisses,1
1,l7-104,CacheHits,0
1,l7-104,CacheMisses,1
1,l7-105,CacheHits,0
1,l7-105,CacheMisses,1
1,l7-106,CacheHits,0
1,l7-106,CacheMisses,1
1,l7-107,CacheHits,0
1,l7-107,CacheMisses,1
1,l7-108,CacheHits,0
1,l7-108,CacheMisses,1
1,l7-109,CacheHits,0
1,l7-109,CacheMisses,1
1,l7-110,CacheHits,0
1,l7-110,CacheMisses,1
1,l7-111,CacheHits,0
1,l7-111,CacheMisses,1
1,l7-112,CacheHits,0
1,l7-112,CacheMisses,1
1,l7-113,CacheHits,0
1,l7-113,CacheMisses,1
1,l7-114,CacheHits,0
1,l7-114,CacheMisses,1
1,l7-115,CacheHits,0
1,l7-115,CacheMisses,1
1,l7-116,CacheHits,0
1,l7-116,CacheMisses,1
1,l7-117,CacheHits,0
1,l7-117,CacheMisses,1
1,l7-118,CacheHits,0
1,l7-118,CacheMisses,1
1,l7-119,CacheHits,0
1,l7-119,CacheMisses,1
1,l7-120,CacheHits,0
1,l7-120,CacheMisses,1
1,l7-121,CacheHits,0
1,l7-121,CacheMisses,1
1,l7-122,CacheHits,0
1,l7-122,CacheMisses,1
1,l7-123,CacheHits,0
1,l7-123,CacheMisses,1
1,l7-124,CacheHits,0
1,l7-124,CacheMisses,1
1,l7-125,CacheHits,0
1,l7-125,CacheMisses,1
1,l7-126,CacheHits,0
1,l7-126,CacheMisses,1
1,l7-127,CacheHits,0
1,l7-127,CacheMisses,1
1,l7-128,CacheHits,0
1,l7-128,CacheMisses,1
1,l8-1,CacheHits,212
1,l8-1,CacheMisses,85
1,l8-2,CacheHits,205
1,l8-2,CacheMisses,92
1,l8-3,CacheHits,235
1,l8-3,CacheMisses,88
1,l8-4,CacheHits,188
1,l8-4,CacheMisses,87
1,l8-5,CacheHits,194
1,l8-5,CacheMisses,87
1,l8-6,CacheHits,204
1,l8-6,CacheMisses,87
1,l8-7,CacheHits,175
1,l8-7,CacheMisses,81
1,l8-8,CacheHits,196
1,l8-8,CacheMisses,92
1,l8-9,CacheHits,192
1,l8-9,CacheMisses,84
1,l8-10,CacheHits,185
1,l8-10,CacheMisses,88
1,l8-11,CacheHits,208
1,l8-11,CacheMisses,79
1,l8-12,CacheHits,202
1,l8-12,CacheMisses,87
1,l8-13,CacheHits,176
1,l8-13,CacheMisses,85
1,l8-14,CacheHits,175
1,l8-14,CacheMisses,84
1,l8-15,CacheHits,154
1,l8-15,CacheMisses,82
1,l8-16,CacheHits,173
1,l8-16,CacheMisses,81
1,l8-17,CacheHits,154
1,l8-17,CacheMisses,78
1,l8-18,CacheHits,152
1,l8-18,CacheMisses,88
1,l8-19,CacheHits,172
1,l8-19,CacheMisses,85
1,l8-20,CacheHits,162
1,l8-20,CacheMisses,87
1,l8-21,CacheHits,173
1,l8-21,CacheMisses,84
1,l8-22,CacheHits,158
1,l8-22,CacheMisses,85
1,l8-23,CacheHits,149
1,l8-23,CacheMisses,87
1,l8-24,CacheHits,144
1,l8-24,CacheMisses,75
1,l8-25,CacheHits,170
1,l8-25,CacheMisses,86
1,l8-26,CacheHits,138
1,l8-26,CacheMisses,78
1,l8-27,CacheHits,152
1,l8-27,CacheMisses,82
1,l8-28,CacheHits,135
1,l8-28,CacheMisses,78
1,l8-29,CacheHits,107
1,l8-29,CacheMisses,72
1,l8-30,CacheHits,113
1,l8-30,CacheMisses,80
1,l8-31,CacheHits,140
1,l8-31,CacheMisses,84
1,l8-32,CacheHits,144
1,l8-32,CacheMisses,82
1,l8-33,CacheHits,121
1,l8-33,CacheMisses,70
1,l8-34,CacheHits,116
1,l8-34,CacheMisses,78
1,l8-35,CacheHits,137
1,l8-35,CacheMisses,78
1,l8-36,CacheHits,118
1,l8-36,CacheMisses,77
1,l8-37,CacheHits,136
1,l8-37,CacheMisses,71
1,l8-38,CacheHits,125
1,l8-38,CacheMisses,72
1,l8-39,CacheHits,110
1,l8-39,CacheMisses,77
1,l8-40,CacheHits,116
1,l8-40,CacheMisses,74
1,l8-41,CacheHits,98
1,l8-41,CacheMisses,80
1,l8-42,CacheHits,97
1,l8-42,CacheMisses,63
1,l8-43,CacheHits,94
1,l8-43,CacheMisses,75
1,l8-44,CacheHits,119
1,l8-44,CacheMisses,73
1,l8-45,CacheHits,112
1,l8-45,CacheMisses,78
1,l8-46,CacheHits,98
1,l8-46,CacheMisses,65
1,l8-47,CacheHits,92
1,l8-47,CacheMisses,67
1,l8-48,CacheHits,101
1,l8-48,CacheMisses,67
1,l8-49,CacheHits,77
1,l8-49,CacheMisses,63
1,l8-50,CacheHits,82
1,l8-50,CacheMisses,71
1,l8-51,CacheHits,80
1,l8-51,CacheMisses,62
1,l8-52,CacheHits,67
1,l8-52,CacheMisses,66
1,l8-53,CacheHits,74
1,l8-53,CacheMisses,64
1,l8-54,CacheHits,74
1,l8-54,CacheMisses,74
1,l8-55,CacheHits,68
1,l8-55,CacheMisses,66
1,l8-56,CacheHits,58
1,l8-56,CacheMisses,57
1,l8-57,CacheHits,69
1,l8-57,CacheMisses,60
1,l8-58,CacheHits,77
1,l8-58,CacheMisses,65
1,l8-59,CacheHits,60
1,l8-59,CacheMisses,55
1,l8-60,CacheHits,57
1,l8-60,CacheMisses,62
1,l8-61,CacheHits,67
1,l8-61,CacheMisses,57
1,l8-62,CacheHits,58
1,l8-62,CacheMisses,59
1,l8-63,CacheHits,60
